clusterid,hhid,promoter,chlorine,imp_lat,feces_disp,hws,lns,tr
"152540","20062630",,0,0,,0,0,"Nutrition + WSH"
"152540","20062640",,0,,,0,0,"Nutrition + WSH"
"152540","20062730",,0,0,0,0,0,"Nutrition + WSH"
"152540","20062830",,0,0,,1,0,"Nutrition + WSH"
"152540","20062930",,1,0,,0,0,"Nutrition + WSH"
"152540","20063030",,0,0,,0,0,"Nutrition + WSH"
"152540","20063130",,0,0,,0,0,"Nutrition + WSH"
"152540","20092630",,0,0,,0,0,"Nutrition + WSH"
"152540","20092730",,0,0,,0,0,"Nutrition + WSH"
"152540","20092930",,0,0,,0,0,"Nutrition + WSH"
"152540","20093030",,0,1,0,0,0,"Nutrition + WSH"
"152540","20093130",,,1,,0,0,"Nutrition + WSH"
"152540","20093230",,,0,,0,0,"Nutrition + WSH"
"152540","20093330",,0,1,,0,0,"Nutrition + WSH"
"152540","20093430",,0,0,,0,0,"Nutrition + WSH"
"152540","20093530",,0,0,,0,0,"Nutrition + WSH"
"152540","20093630",,0,0,,0,0,"Nutrition + WSH"
"152530","20112630",,0,0,0,0,0,"WSH"
"152530","20112740",,0,0,,0,0,"WSH"
"152530","20112830",,0,0,0,0,0,"WSH"
"152530","20113030",,,,,0,0,"WSH"
"152530","20122630",,0,1,0,0,0,"WSH"
"152530","20122640",,0,1,,0,0,"WSH"
"152530","20122930",,0,0,0,1,0,"WSH"
"152530","20123730",,0,1,,0,0,"WSH"
"152550","20132730",,0,,,0,0,"Passive Control"
"152550","20132830",,0,0,,0,0,"Passive Control"
"152550","20132930",,0,1,,0,0,"Passive Control"
"152550","20133030",,0,0,0,1,0,"Passive Control"
"152550","20133130",,0,0,,0,0,"Passive Control"
"152550","20133230",,,0,1,0,0,"Passive Control"
"152550","20133250",,0,0,1,0,0,"Passive Control"
"152550","20133430",,,0,0,0,0,"Passive Control"
"152550","20133530",,0,0,,0,0,"Passive Control"
"152550","20133630",,0,1,,0,0,"Passive Control"
"152550","20133730",,0,0,,0,0,"Passive Control"
"152550","20133830",,0,0,,0,0,"Passive Control"
"152550","20133930",,0,0,,0,0,"Passive Control"
"152550","20134030",,0,0,1,0,0,"Passive Control"
"152550","20134130",,0,0,,0,0,"Passive Control"
"152550","20134230",,0,0,,0,0,"Passive Control"
"152550","20134330",,,1,,0,0,"Passive Control"
"152550","20134430",,0,0,0,0,0,"Passive Control"
"152550","20134530",,0,0,0,0,0,"Passive Control"
"152700","20152640",,0,0,,0,0,"Control"
"152700","20152730",,0,0,1,0,0,"Control"
"152700","20152930",,0,,,0,0,"Control"
"152700","20152940",,0,0,1,0,0,"Control"
"152700","20153030",,0,0,,0,0,"Control"
"152700","20153040",,0,0,0,0,0,"Control"
"152700","20153230",,0,1,,0,0,"Control"
"152700","20153430",,0,0,,0,0,"Control"
"152700","20153630",,0,0,,0,0,"Control"
"152700","20153930",,0,0,,0,0,"Control"
"152700","20154030",,,0,,0,0,"Control"
"152700","20154130",,0,0,,0,0,"Control"
"152700","20154430",,0,0,,0,0,"Control"
"152710","20162630",,0,0,0,0,0,"Sanitation"
"152710","20162640",,0,0,,0,0,"Sanitation"
"152710","20162930",,0,1,,0,0,"Sanitation"
"152710","20163130",,0,0,,0,0,"Sanitation"
"152710","20163230",,0,0,1,0,0,"Sanitation"
"152710","20163330",,0,0,0,0,0,"Sanitation"
"152710","20163430",,0,0,0,0,0,"Sanitation"
"152710","20163530",,,,,0,0,"Sanitation"
"152680","20172640",,0,1,,0,0,"Control"
"152680","20172830",,0,0,,0,0,"Control"
"152680","20172930",,0,0,,0,0,"Control"
"152680","20173130",,0,1,0,0,0,"Control"
"152680","20173230",,0,1,,0,0,"Control"
"152680","20173330",,0,0,0,0,0,"Control"
"152680","20173430",,0,0,,0,0,"Control"
"152680","20192630",,0,0,,0,0,"Control"
"152680","20192640",,0,0,,0,0,"Control"
"152680","20192730",,0,0,0,0,0,"Control"
"152680","20192830",,0,0,,0,0,"Control"
"152690","20212630",,0,0,,0,0,"Handwashing"
"152690","20212730",,,0,,0,0,"Handwashing"
"152690","20212830",,0,0,,0,0,"Handwashing"
"152690","20212930",,0,0,1,1,0,"Handwashing"
"152690","20213030",,0,0,1,1,0,"Handwashing"
"152690","20213130",,0,1,,0,0,"Handwashing"
"152690","20213230",,0,0,,0,0,"Handwashing"
"152710","20222630",,0,0,,0,0,"Sanitation"
"152710","20222730",,0,0,0,0,0,"Sanitation"
"152710","20222740",,,0,0,0,0,"Sanitation"
"152710","20222830",,0,1,0,0,0,"Sanitation"
"152690","20232630",,0,0,,0,0,"Handwashing"
"152690","20232730",,0,0,,1,0,"Handwashing"
"152690","20232830",,0,0,,0,0,"Handwashing"
"152690","20232840",,0,0,,0,0,"Handwashing"
"152690","20233030",,0,0,,1,0,"Handwashing"
"152690","20233230",,0,0,,0,0,"Handwashing"
"152690","20233330",,0,1,,0,0,"Handwashing"
"152690","20233430",,0,,1,0,0,"Handwashing"
"152720","20242730",,0,0,0,0,0,"Nutrition"
"152720","20242830",,,1,,1,0,"Nutrition"
"152720","20242930",,0,0,,0,0,"Nutrition"
"152720","20242940",,0,0,,0,0,"Nutrition"
"152720","20242950",,0,,,1,0,"Nutrition"
"152720","20242960",,0,,,1,0,"Nutrition"
"152720","20243030",,0,0,0,0,0,"Nutrition"
"152720","20243130",,0,0,0,0,0,"Nutrition"
"152560","20252630",,0,0,,0,0,"Control"
"152560","20252730",,0,1,0,0,0,"Control"
"152560","20252830",,0,0,,0,0,"Control"
"152560","20252930",,0,0,,0,0,"Control"
"152560","20253030",,0,0,0,0,0,"Control"
"152560","20253130",,0,0,0,0,0,"Control"
"152560","20253430",,0,0,,0,0,"Control"
"152560","20253530",,0,0,,0,0,"Control"
"152560","20253630",,0,0,0,0,0,"Control"
"152560","20253730",,0,0,0,0,0,"Control"
"152600","20282630",,1,0,,0,0,"WSH"
"152600","20282730",,0,0,,0,0,"WSH"
"152600","20282830",,0,0,,0,0,"WSH"
"152600","20282930",,0,0,0,0,0,"WSH"
"152600","20283030",,0,1,1,1,0,"WSH"
"152600","20283130",,0,1,,1,0,"WSH"
"152600","20283230",,0,0,,1,0,"WSH"
"152590","20292630",,0,0,0,0,0,"Nutrition"
"152590","20292730",,,0,,0,0,"Nutrition"
"152590","20292830",,0,0,0,0,0,"Nutrition"
"152590","20293030",,0,0,,0,0,"Nutrition"
"152590","20293230",,0,0,1,0,0,"Nutrition"
"152590","20293330",,0,0,,0,0,"Nutrition"
"152590","20293430",,0,0,0,0,0,"Nutrition"
"152590","20293530",,0,1,,0,0,"Nutrition"
"152570","20302630",,0,0,,0,0,"Sanitation"
"152570","20302730",,0,1,,0,0,"Sanitation"
"152570","20302830",,,0,,0,0,"Sanitation"
"152570","20302930",,0,0,1,0,0,"Sanitation"
"152570","20303130",,0,0,,0,0,"Sanitation"
"152570","20303230",,0,0,,0,0,"Sanitation"
"152600","20312630",,0,0,1,0,0,"WSH"
"152600","20312730",,0,1,,0,0,"WSH"
"152600","20312830",,0,1,,1,0,"WSH"
"152600","20313030",,0,,0,0,0,"WSH"
"152600","20313130",,0,0,,0,0,"WSH"
"152600","20313230",,0,0,,0,0,"WSH"
"152590","20372630",,,0,,0,0,"Nutrition"
"152590","20372730",,0,0,,0,0,"Nutrition"
"152590","20372930",,0,0,,0,0,"Nutrition"
"152570","20382630",,0,,,0,0,"Sanitation"
"152570","20382730",,0,1,,0,0,"Sanitation"
"152570","20382830",,0,0,0,0,0,"Sanitation"
"152570","20382930",,0,0,,0,0,"Sanitation"
"152570","20383030",,0,0,0,0,0,"Sanitation"
"152570","20383130",,0,0,,1,0,"Sanitation"
"152610","20402630",,0,1,,0,0,"Water"
"152610","20402730",,0,0,,0,0,"Water"
"152610","20402830",,0,0,0,0,0,"Water"
"152610","20402930",,0,0,,1,0,"Water"
"152610","20403030",,0,1,,0,0,"Water"
"152610","20403130",,0,1,,0,0,"Water"
"152610","20412630",,0,0,,0,0,"Water"
"152610","20412730",,0,0,,0,0,"Water"
"152610","20412830",,0,1,1,1,0,"Water"
"152610","20412930",,0,0,,0,0,"Water"
"152610","20413030",,0,0,,1,0,"Water"
"152610","20413130",,0,0,,0,0,"Water"
"152610","20413230",,0,0,,0,0,"Water"
"152650","20422630",,0,0,,1,0,"WSH"
"152650","20422730",,0,0,,0,0,"WSH"
"152650","20422830",,0,0,,0,0,"WSH"
"152650","20422930",,0,0,0,1,0,"WSH"
"152650","20423030",,0,0,0,0,0,"WSH"
"152670","20432630",,0,1,,0,0,"Passive Control"
"152670","20432730",,0,0,,0,0,"Passive Control"
"152670","20432830",,0,0,,0,0,"Passive Control"
"152670","20432930",,0,0,,0,0,"Passive Control"
"152670","20433030",,0,0,,0,0,"Passive Control"
"152670","20433130",,0,0,,0,0,"Passive Control"
"152670","20433430",,0,0,,0,0,"Passive Control"
"152670","20433530",,0,0,0,0,0,"Passive Control"
"152620","20442630",,0,0,,0,0,"Water"
"152620","20442730",,,0,,0,0,"Water"
"152620","20442740",,0,0,,0,0,"Water"
"152620","20442830",,0,0,0,0,0,"Water"
"152620","20443030",,0,0,0,0,0,"Water"
"152620","20443130",,,0,,0,0,"Water"
"152620","20443230",,0,1,,0,0,"Water"
"152620","20443330",,0,0,,1,0,"Water"
"152620","20443430",,0,0,,0,0,"Water"
"152640","20452830",,0,1,,0,0,"Nutrition + WSH"
